Name,URL,LoadProxy,ReverseProxy,Proxy Comments,Contains Dropdown KRF,KRFs,SALAD,Redecheck,Redecheck Runtime,Wave Runtime,Qualweb Runtime
nature,https://www.nature.com/,,x,broken reverse,,0,,,86,1,3
netflix,https://www.netflix.com/,,x,no css,,0,,,51,1,2
ninite,https://web.archive.org/web/20170107114407/https://ninite.com/,,x,no css,,0,,,117,1,2
office,https://support.microsoft.com/en-US,,x,no css,,0,,,430,2,4
ovhcloud,https://us.ovhcloud.com/about/contact/,,x,no css,,0,,,206,1,2
pdfescape,https://web.archive.org/web/20170110051829/http://www.pdfescape.com/,,x,no css,,0,,,49,1,2
pepfeed,https://web.archive.org/web/20161122104939/http://www.pepfeed.com/,,x,no css,,0,,,162,2,4
phonework,https://web.archive.org/web/20170114021357/http://willmyphonework.net/,,x,no css,,8,,doesnt work (stuck),,1,2
php,https://www.php.net/,,x,no css,,0,,,431,1,2
pocket,https://web.archive.org/web/20170107022321/https://getpocket.com/,,x,no css,,0,,,102,1,2
python,https://www.python.org/,,,,,6,,,359,1,3
rainymood,https://web.archive.org/web/20170108163044/http://www.rainymood.com/,,x,no css,,0,,doesnt work (stuck),,1,2
raise,https://www.raise.com/user/sign_in,,x,no css,,25,,,21,1,2
readnext,https://web.archive.org/web/20170107175029/http://www.whatshouldireadnext.com/search,,x,no css,,2,,,28,1,2
researchgate,https://www.researchgate.net/,,x,no css,,0,,,72,1,2
resellerratings,https://web.archive.org/web/20200606172352/https://www.resellerratings.com/signup,,x,blank reverse,,0,,,39,1,3
roblox,https://www.roblox.com/,,x,blank reverse,,0,,,21,1,2
runpee,https://web.archive.org/web/20170126075454/http://runpee.com/,,x,no css,,2,x,,260,2,3
salesforce,https://login.salesforce.com/,,x,no css,,0,,,10,1,3
sciencedirect,https://www.sciencedirect.com/,,x,no css,,0,,,210,1,2
scribd,https://www.scribd.com/,,x,no css,,8,infinity,,171,1,2
shutterstock,https://www.shutterstock.com/signup?site=image&view=freetrialflex10,,,,,,,,16,1,2
slideshare,https://www.slideshare.net/,,x,no css,,0,,,42,1,2
snapchat,https://web.archive.org/web/20200317213600/https://www.snapchat.com/add/tacobell,,x,blank reverse,,0,,,9,1,1
speedway,https://www.speedway.com/speedy-rewards,,,,,14,,,452,1,2
spotify,https://accounts.spotify.com/en/login,,x,blank reverse,,0,,,8,1,1
spotify,https://www.spotify.com/us/accessibility,,,,,0,,,8,2,2
ssa,https://www.ssa.gov/,,,,,1,,,56,2,2
stacksocial,https://stacksocial.com/sign_in,,,,,3,x,,64,1,3
steam,https://store.steampowered.com/login/,,x,no css,,8,,,54,2,4
stickermule,https://www.stickermule.com/signup,,,,,0,,,12,1,2
stumbleupon,https://www.stumbleupon.com/,,x,no css,,0,,,6,1,1
tdfilms,https://web.archive.org/web/20170107155435/http://topdocumentaryfilms.com/,,x,no css,,2,,doesnt work (stuck),,1,2
telegram,https://telegram.org/,,,,,12,x,,143,2,2
tesla,https://auth.tesla.com/login,,,,,0,,,7,1,2
thefreedictionary,https://www.thefreedictionary.com/about.htm,,x,no css,,5,,,48,1,2
tinyurl,https://tinyurl.com/,,x,no css,,0,,,46,1,2
trello,https://trello.com/,,,,,1,:(,,324,1,2
tripadvisor,https://www.tripadvisorsupport.com/en-US/hc/traveler/,,,,,1,:(,,140,1,2
ubersignup,https://auth.uber.com/login/?uber_client_name=riderSignUp,,,,,0,,,29,1,3
urbandictionary,https://about.urbandictionary.com/tos/,,,,,,,,17,1,2
usersearch,https://web.archive.org/web/20170105021624/https://www.usersearch.org/,,x,no css,,0,,,65,1,2
usgsgov,https://web.archive.org/web/20200603065656/https://www.usgs.gov/natural-hazards/earthquake-hazards/,,x,no css,,59,x,,327,2,3
venmo,https://venmo.com/,,x,no css,,10,,,35,2,3
vimeo,https://developer.vimeo.com/,,x,blank reverse,,2,,,122,1,2
vk,https://vk.com/,,,,,No RWD,,,22,1,2
w3,https://www.w3.org/,,,,,24,x,,137,1,3
walmart,https://www.walmart.com/account/login,,x,no css,,0,,,39,1,2
waze,https://www.waze.com/carpool/go,,x,blank reverse,,0,,,31,1,2
